"","Species","Functional_group","ProjectID","PlotNumber","SiteSurveyor","Year","YearsSinceStart","RelocationConfidence","Latitude","Longitude","Elevation","present","Cover","Time"
"43","PAXIMYR","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,8,"historical"
"44","PICEENG","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"45","PINUCON","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,1,"historical"
"46","PSEUMEN","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"47","PYROASA","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"48","RHODALB","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,3,"historical"
"49","RIBEACE","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,1,"historical"
"50","RIBELAC","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,5,"historical"
"51","RUBUPAR","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,4,"historical"
"52","RUBUPED","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"53","SORBSCO","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"54","SORBSIT","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"55","SPIRLUC","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,8,"historical"
"56","TIARTRI","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"57","TSUGHET","tree","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,0,0,"historical"
"58","VACCMEM","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,18,"historical"
"59","VACCSCO","shrub","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,5,"historical"
"60","VALESIT","herb","NCBG_ESSFplots","00NCe74","jpstamp",2000,24,"Med-High",49.12958668,-120.8160951,1620,1,8,"historical"
"61","ABIEAMA","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"62","ABIELAS","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,49,"historical"
"63","AMELALN","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"64","ARNILAT","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"65","CHAMANG","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,2,"historical"
"66","CHIMUMB","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"67","CLINUNI","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"68","CORNCAN","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"69","GOODOBL","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"70","LONIUTA","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"71","LUPIARC","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,25,"historical"
"72","ORTHSEC","herb","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,0,0,"historical"
"73","PAXIMYR","shrub","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,4,"historical"
"74","PICEENG","tree","NCBG_ESSFplots","00NCe75","jpstamp",2000,24,"Med-High",49.13184343,-120.8212604,1750,1,0.100000001,"historical"
