"ProjectID","Date","FSRegionDistrict","SiteSurveyor"
"NCGB_CWHplots","2000-07-15","RSC.DCK","jpstamp"
"NCBG_ESSFplots","2000-10-01","RTO.DCS","jpstamp"
"Alpine2007_BEC","2007-07-15","RTO.DCS","whm"
"BC Parks Manning TEM","2019-10-29","RTO.DCS","HAK EAC"
"BEC-Vancouver","1979-08-15","RSC.DCK",NA
"RCOBEC15","2015-06-24","RSC.DCK","MWR; SCS; HAK"
"BC Parks Manning TEM`","2019-08-27","RSC.DCK","WHM RAR"
"Skagit Rhodo. Comm.","1993-08-10","RSC.DCK","J. Bryce, C. Cadrin, J. Desros"
