"PlotNumber","ProjectID","Latitude","Longitude","Date","Elevation"
"00NCe85","NCBG_ESSFplots",49.0368680288175,-120.964559221006,"2000-10-04",1705
"essf85","NCBG_ESSFplots",49.0368680288175,-120.964559221006,"2000-10-04",1705
"VV0046","BEC-Vancouver",49.07500076,-120.79170227,"1979-06-25",750
"VV0047","BEC-Vancouver",49.07500076,-120.79170227,"1979-06-25",980
"VV0044","BEC-Vancouver",49.07500076,-120.79170227,"1979-06-25",640
"VV0045","BEC-Vancouver",49.07500076,-120.79170227,"1979-06-25",710
"MP 285","BEC-Vancouver",49.07500076,-120.77500152,"1976-09-28",1481
"MP 286","BEC-Vancouver",49.07500076,-120.77500152,"1976-09-18",1326
