"PlotNumber","Zone","SubZone","Latitude","Longitude","Elevation","Date"
"14-4588","ESSF","mww",49.0820198,-120.92365264,1792,"2019-08-27"
"19JCG13","IDF","dk2",49.11692047,-120.6429367,1080,"2019-08-30"
"19JCG14","IDF","dk2",49.11307907,-120.64520263,1055,"2018-08-30"
"19JCG15","IDF","dk2",49.11320114,-120.64414978,1046,"2019-08-30"
"19JCG16","IDF","dk2",49.11222076,-120.65350341,1094,"2019-08-30"
"19JCG18","IDF","dk2",49.11236953,-120.65190887,1088,"2019-08-30"
"19JCV17","IDF","df2",49.1126213,-120.65438842,1166,"2019-08-30"
"9621336","MS","dm2",49.0841320974704,-120.692890301707,1142,"2015-06-22"
"9621340","MS","mw1",49.0564956282905,-120.735155003146,1151,"2015-06-22"
"9621341","IDF","dk2",49.1293679896386,-120.627304089749,1064,"2015-06-22"
"9621342","IDF","dk2",49.1288600849288,-120.622297130849,1062,"2015-06-22"
"9621354","IDF","dk2",49.0840037114454,-120.691869010983,1136,"2015-06-22"
"essf85","ESSF","unp",49.0368680288175,-120.964559221006,1705,"2000-10-04"
"MP 291","ESSF","mw",49.03950881,-120.87200164,1308,"1976-09-29"
"MP 292","MS","mw",49.03998947,-120.88110351,1277,"1976-09-29"
"MP 293","MS","mw",49.04455947,-120.85169982,1259,"1976-09-29"
"MP 294","ESSF","mw",49.11808013,-120.86609649,1402,"1976-09-30"
"MP 295","ESSF","mw",49.11931991,-120.87550354,1353,"1976-09-30"
"MP 296","MS","mw",49.12162017,-120.87310028,1381,"1976-09-30"
"MP 297","ESSF","mw",49.11734008,-120.87239837,1372,"1976-09-30"
"MP 299","MS","mw",49.04080963,-120.87870025,1311,"1976-10-01"
"MP 281","ESSF",NA,49.10832977,-120.75830078,1921,"1976-09-27"
"MP 285","ESSF",NA,49.07500076,-120.77500152,1481,"1976-09-28"
"MP 286","ESSF",NA,49.07500076,-120.77500152,1326,"1976-09-18"
"MP 287","MS","mw",49.11643981,-120.87020111,1250,"1976-09-28"
"MP 288","MS","mw",49.11574935,-120.86699676,1259,"1976-09-28"
"MP 289","ESSF","mw",49.04022979,-120.89379882,1466,"1976-09-29"
"MP 290","MS","mw",49.03955841,-120.88819885,1353,"1976-09-19"
"SK93710","CWH","ms1",49.2147589434701,-121.066062705323,695,"1993-08-10"
"SK93711","CWH","ms1",49.2144177198915,-121.067174591221,686,"1993-08-10"
"SK93721","CWH","ms1",49.2163286173368,-121.06847331881,698,"1993-08-16"
"SK93722","CWH","ms1",49.2173936589752,-121.067607825552,698,"1993-08-16"
"SK93734","CWH","ms1",49.1980363763364,-120.992860450015,869,"1993-08-23"
"SK93735","CWH","ms1",49.1974826776558,-120.99205921361,869,"1993-08-23"
"SK93736","CWH","ms1",49.2019202493209,-120.988584586158,823,"1993-08-23"
"VV0046","ESSF","mw",49.07500076,-120.79170227,750,"1979-06-25"
"VV0047","ESSF","mw",49.07500076,-120.79170227,980,"1979-06-25"
"VV0044","CWH","ds1",49.07500076,-120.79170227,640,"1979-06-25"
"VV0045","ESSF","mw",49.07500076,-120.79170227,710,"1979-06-25"
