BC_species_code,Latin_name,Functional_group
POTEUNI,Potentilla uniflora,herb
PROSHOO,Prosartes hookeri,herb
PROSTRA,Prosartes trachycarpa,herb
PSEUMEN,Pseudotsuga menziesii,tree
PULSOCC,Pulsatilla occidentalis,herb
PYROASA,Pyrola asarifolia,herb
PYROCHL,Pyrola chlorantha,herb
PYROPIC,Pyrola picta,herb
RANUESC,Ranunculus eschscholtzii,herb
RANUNCULUS SP.,Ranunculus spp.,herb
RANUUNC,Ranunculus uncinatus,herb
RHODALB,Rhododendron albiflorum,shrub
RHODMAC,Rhododendron macrophyllum,shrub
RIBEACE,Ribes acerifolium,shrub
RIBELAC,Ribes lacustre,shrub
RIBEVIS,Ribes viscosissimum,shrub
ROSA SP.,Rosa spp.,shrub
ROSAGYM,Rosa gymnocarpa,shrub
ROSANUT,Rosa nutkana,shrub
RUBULAS,Rubus lasiococcus,herb
RUBUPAR,Rubus parviflorus,shrub
RUBUPED,Rubus pedatus,herb
RUBUSPE,Rubus spectabilis,shrub
SALINIV,Salix nivalis,shrub
SALIX SP.,Salix spp.,shrub
SAXIAUS,Saxifraga austromontana,herb
SAXIFRAGE SP.,Saxifrage spp.,herb
SEDUDIV,Sedum divergens,herb
SEDULAN,Sedum lanceolatum,herb
SEDUM SP.,Sedum spp.,herb
SENETRI,Senecio triangularis,herb
SHEPCAN,Shepherdia canadensis,shrub
SIBBPRO,Sibbaldia procumbens,shrub
SILEACA,Silene acaulis,herb
SILEMEN,Silene menziesii,herb
SILEPAR,Silene parryi,herb
SOLIMUL,Solidago multiradiata,herb
SORBSCO,Sorbus scopulina,shrub
SORBSIT,Sorbus sitchensis,shrub
SPIREA SP.,Spirea spp.,shrub
SPIRLUC,Spiraea lucida,shrub
STREAMP,Streptopus amplexifolius,herb
STRELAN,Streptopus lanceolatus,herb
STREPTOPUS SP.,Streptopus spp.,herb
SYMPALB,Symphoricarpos albus,shrub
SYMPFOL,Symphyotrichum foliaceum,herb
TARAOFF,Taraxacum officinale,herb
TAXUBRE,Taxus brevifolia,tree
THALOCC,Thalictrum occidentale,herb
THUJPLI,Thuja plicata,tree
TIARTRI,Tiarella trifoliata,herb
TONELYA,Tonestus lyallii,herb
TRIFHYB,Trifolium hybridum,herb
TROLALB,Trollius albiflorus,herb
TSUGHET,Tsuga heterophylla,tree
TSUGMER,Tsuga mertensiana,tree
VACCALA,Vaccinium alaskaense,shrub
VACCCAE,Vaccinium caespitosum,shrub
VACCDEL,Vaccinium deliciosum,shrub
VACCINIUM SP.,Vacciunium spp.,shrub
VACCMEM,Vaccinium membranaceum,shrub
VACCOVL,Vaccinium ovalifolium,shrub
VACCPAR,Vaccinium parvifolium,shrub
VACCSCO,Vaccinium scoparium,shrub
VACCULG,Vaccinium uliginosum,shrub
VALESIT,Valeriana sitchensis,herb
VERAVIR,Veratrum viride,herb
VEROCUS,Veronica cusickii,herb
VEROWOR,Veronica wormskjoldii,herb
VIBUEDU,Viburnum edule,shrub
VIOLA SP.,Viola spp.,herb
VIOLGLA,Viola glabella,herb
VIOLORB,Viola orbiculata,herb
VIOLSEM,Viola sempervirens,herb
