BC_species_code,Latin_name,Functional_group
HEUCCYL,Heuchera cylindrica,herb
HIERACIUM SP.,Hieracium spp.,herb
HIERALI,Hieracium albiflorum,herb
HIERGRA,Hieracium gracile,herb
HIERSCO,Hieracium scouleri,herb
HIERUMB,Hieracium umbellatum,herb
HYLOSPL,Hylocomium splendens,moss
HYLOTRI,Hylocomium triquetrus,moss
HYPOMON,Hypopitys monotropa,herb
JUNCPAR,Juncus parryi,grass
JUNICOM,Juniperus communis,shrub
LEPTPYI,Leptobryum pyriforme,moss
LEPTPYR,Leptarrhena pyrolifolia,herb
LESCRAD,Lescuraea radicosa,moss
LETHARIA SP.,Letharia spp.,lichen
LEUCVUL,Leucanthemum vulgare,herb
LICHEN SP.,Lichen spp.,lichen
LILICOL,Lilium columbianum,herb
LINNBOR,Linnaea borealis,shrub
LOBALIN,Lobaria linita,lichen
LOMADIS,Lomatium dissectum,herb
LOMAMAC,Lomatium macrocarpum,herb
LONICIL,Lonicera ciliosa,shrub
LONIINV,Lonicera involucrata,shrub
LONIUTA,Lonicera utahensis,shrub
LOPHCOA,Lophocolea coadunata,moss
LOPHHET,Lophocolea heterophylla,moss
LOPHOZIA SP.,Lophozia spp.,moss
LUETPEC,Luetkea pectinata,shrub
LUPIARC,Lupinus arcticus,herb
LUPILEP,Lupinus lepidus,herb
LUPINUS,Lupinus sp.,herb
LUZUPAR,Luzula parviflora,grass
LUZUPIP,Luzula piperi,grass
LUZUSPI,Luzula spicata,grass
LYCOANN,Lycopodium annotinum,herb
LYSILAT,Lysimachia latifolia,herb
MAHOAQU,Mahonia aquifolium,shrub
MAHONER,Mahonia nervosa,shrub
MAIARAC,Maianthemum racemosum,herb
MAIASTE,Maianthemum stellatum,herb
MARCPOL,Marchantia polymorpha,moss
MENZFER,Menziesia ferruginea,shrub
MICROCC,Micranthes occidentalis,herb
MICRODO,Micranthes odontoloma,herb
MITELLA SP.,Mitella spp.,herb
MONEUNI,Moneses uniflora,herb
NEOTBAN,Neottia banksiana,herb
NEOTCOR,Neottia cordata,herb
NIPHCAN,Niphotrichum canescens,moss
NOTHNEM,Nothochelone nemorosa,herb
OBTUOBT,Obtusifolium obtusum,moss
OPLOHOR,Oplopanax horridus,shrub
ORTHSEC,Orthilia secunda,herb
OSMOBER,Osmorhiza berteroi,herb
OSMOPUR,Osmorhiza purpurea,herb
PACKCAN,Packera cana,herb
PARNFIM,Parnassia fimbriata,herb
PAXIMYR,Paxistima myrsinites,shrub
PECTBRE,Pectiantia breweri,herb
PECTPET,Pectiantia pentandra,herb
PEDIBRA,Pedicularis bracteosa,herb
PEDILAB,Pedicularis labradorica,herb
PEDIRAC,Pedicularis racemosa,herb
PELTAPH,Peltigera aphthosa,lichen
PELTBRI,Peltigera britannica,lichen
PELTCAN,Peltigera canina,lichen
PELTIGERA SP.,Peltigera spp.,lichen
PENSDAV,Penstemon davidsonii,shrub
PENSFRU,Penstemon fruticosus,herb
PENSPRO,Penstemon procerus,herb
PETAFRI,Petasites frigidus,herb
PHLEALP,Phleum alpinum,grass
PHLODIF,Phlox diffusa,herb
PHYLEMP,Phyllodoce empetriformis,shrub
PHYLGLA,Phyllodoce glanduliflora,shrub
PICEENG,Picea engelmannii,tree
PINUALB,Pinus albicaulis,tree
PINUCON,Pinus contorta,tree
PINUMON,Pinus monticola,tree
PINURAD,Pinus radiata,tree
PLAGINS,Plagiomnium insigne,moss
PLAGIOMNIUM SP.,Plagiomnium spp.,moss
PLATSTR,Platanthera stricta,herb
PLEUSCH,Pleurozium schreberi,moss
POA_ALP,Poa alpina,grass
POA_ARC,Poa arctica,grass
POA_CUS,Poa cusickii,grass
POA_SEC,Poa secunda,grass
POACEAE SP.,Poaceae spp.,grass
PODAHUM,Podagrostis humilis,grass
POGOCON,Pogonatum contortum,moss
POHLIA SP.,Pohlia spp.,moss
POHLNUT,Pohlia nutans,moss
POLEPUL,Polemonium pulcherrimum,herb
POLYGONUM SP.,Polygonum spp.,herb
POLYJUN,Polytrichum juniperinum,moss
POLYLOC,Polystichum lonchitis,herb
POLYMIN,Polygonum minimum,herb
POLYPIL,Polytrichum piliferum,moss
POLYTRICHUM SP.,Polytrichum spp.,moss
POPUTRE,Populus tremuloides,tree
POPUTRI,Populus trichocarpa,tree
POTEFLA,Potentilla flabellifolia,herb
POTEGLU,Potentilla glaucophylla,herb
POTENTILLA SP.,Potentilla spp.,herb
POTEUNI,Potentilla uniflora,herb
PROSHOO,Prosartes hookeri,herb
PSEUMEN,Pseudotsuga menziesii,tree
PTILCRI,Ptilium crista-castrensis,moss
PTYCWEI,Ptychostomum weigelii,moss
PULSOCC,Pulsatilla occidentalis,herb
PYROASA,Pyrola asarifolia,herb
PYROCHL,Pyrola chlorantha,herb
PYRODEN,Pyrola dentata,herb
PYROELL,Pyrola elliptica,herb
