Site,2019_vs_Error_m,2019_vs_2025_m
02-3085,45.75031693519892,2.875789392147557
02-3089,42.69758994769057,7.354193008843467
12-2000,65.531126232098,4.873523414445659
14-4316,66.78437437018542,1.1549732845959821
14-4317,64.24517159898659,5.319241502485567
14-4320,69.86084631703916,2.263001259280877
14-4386,63.926343975589354,22.26892953167628
14-4387,67.23615918244975,6.245072272709446
14-4388,44.05974152651045,4.675826143267206
MEAN,58.89907445397203,6.336727756605782
